"","Site","Quadrat","Insertion_Depth_cm","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhizome_Removed","Slice_Height_cm","Slice_Height_Corrected_cm","Slice_Area_cm2","Slice_Volume_cm3","OLOI","ILOI","Sample_Density_g_per_ml","Sediment_Density_g_per_ml","Organic_Content_Density_g_per_ml","Inorganic_Content_Density_g_per_ml","Shell_Density_g_per_ml","Rhizome_Density_g_per_ml","Percent_Carbon","Factor","Sediment_Depth_cm","Sediment_Depth_Group"
"41","STCH06",1,50,0.876,38.3688,2,20,"LOI analysis","N",2,1.752,20.2682991638999,35.5100601351526,1.171,18.97,1.38907114807081,1.38907114807081,0.0166688537768497,0.263923518133454,0,NA,0.2018469,"Seagrass",35.04,"below30cm"
"42","STCH06",1,50,0.876,38.3688,15,7,"LOI analysis","N",2,1.752,20.2682991638999,35.5100601351526,2.014,7.306,1.19428127799811,1.11987982697425,0.022397596539485,0.0817512273691204,0.0771020941552746,NA,0.6097746,"Seagrass",12.264,"10-20cm"
"43","STCH06",1,50,0.876,38.3688,7,15,"LOI analysis","N",2,1.752,20.2682991638999,35.5100601351526,2.38,12.829,1.26383903122633,1.20185659606224,0.0288445583054938,0.153837644295967,0.0591043775203953,NA,0.786882,"Seagrass",26.28,"20-30cm"
"44","STCH06",1,50,0.876,38.3688,1,21,"LOI analysis","N",2,1.752,20.2682991638999,35.5100601351526,2.384,23.874,1.29312650626979,1.2904793691024,0.0309715048584576,0.308424569215473,0.00210644532043337,NA,0.7888176,"Seagrass",36.792,"below30cm"
"45","STCH06",1,50,0.876,38.3688,12,10,"LOI analysis","N",2,1.752,20.2682991638999,35.5100601351526,2.532,5.817,1.18104559216117,1.17662430987095,0.0294156077467738,0.0682442099725152,0.00462122562945343,NA,0.8604348,"Seagrass",17.52,"10-20cm"
"46","STCH06",2,50,0.91,41.405,19,3,"LOI analysis","Y",2,1.82,20.2682991638999,36.8883044782978,4.704,9.979,0.95168375170655,0.924520670774232,0.0434524715263889,0.0924520670774232,0.0240401398909978,0.002721729865873,1.9114656,"Seagrass",5.46,"0-10cm"
"47","STCH06",2,50,0.91,41.405,19,3,"LOI analysis","Y",2,1.82,20.2682991638999,36.8883044782978,NA,NA,0.95168375170655,0.924520670774232,NA,NA,0.0240401398909978,0.002721729865873,NA,"Seagrass",5.46,"0-10cm"
"48","STCH06",2,50,0.91,41.405,21,1,"LOI analysis","Y",2.9,2.639,20.2682991638999,53.4880414935319,3.103,9.47,0.837514306920682,0.832859060756357,0.0258186308834471,0.0791216107718539,0.00289597442109993,0.00132366035515736,1.1367417,"Seagrass",2.639,"0-10cm"
"49","STCH06",2,50,0.91,41.405,21,1,"LOI analysis","Y",2.9,2.639,20.2682991638999,53.4880414935319,NA,NA,0.837514306920682,0.832859060756357,NA,NA,0.00289597442109993,0.00132366035515736,NA,"Seagrass",2.639,"0-10cm"
"50","STCH06",2,50,0.91,41.405,17,5,"LOI analysis","Y",2,1.82,20.2682991638999,36.8883044782978,3.689,9.05,0.949948784461372,0.940406464612893,0.034795039190677,0.0855769882797732,0.00797271666885707,0.00156960317962198,1.4203071,"Seagrass",9.1,"0-10cm"
"51","STCH06",2,50,0.91,41.405,17,5,"LOI analysis","Y",2,1.82,20.2682991638999,36.8883044782978,NA,NA,0.949948784461372,0.940406464612893,NA,NA,0.00797271666885707,0.00156960317962198,NA,"Seagrass",9.1,"0-10cm"
"52","STCH06",2,50,0.91,41.405,16,6,"LOI analysis","Y",2,1.82,20.2682991638999,36.8883044782978,2.976,8.575,1.22965803501991,1.18793749454602,0.0356381248363807,0.102162624530958,0.0407175125352714,0.00100302793861854,1.0752864,"Seagrass",10.92,"10-20cm"
"53","STCH06",2,50,0.91,41.405,16,6,"LOI analysis","Y",2,1.82,20.2682991638999,36.8883044782978,NA,NA,1.22965803501991,1.18793749454602,NA,NA,0.0407175125352714,0.00100302793861854,NA,"Seagrass",10.92,"10-20cm"
"54","STCH06",2,50,0.91,41.405,20,2,"LOI analysis","Y",2,1.82,20.2682991638999,36.8883044782978,2.774,9.265,0.855718375957641,0.837853635104949,0.0234599017829386,0.0779203880647602,0.0175069038583743,0.00089188159947432,0.9775386,"Seagrass",3.64,"0-10cm"
"55","STCH06",2,50,0.91,41.405,20,2,"LOI analysis","Y",2,1.82,20.2682991638999,36.8883044782978,NA,NA,0.855718375957641,0.837853635104949,NA,NA,0.0175069038583743,0.00089188159947432,NA,"Seagrass",3.64,"0-10cm"
"56","STCH06",2,50,0.91,41.405,7,15,"LOI analysis","N",2,1.82,20.2682991638999,36.8883044782978,2.201,7.247,1.34077726530092,1.34077726530092,0.0294970998366203,0.0965359631016665,0,NA,0.7002639,"Seagrass",27.3,"20-30cm"
"57","STCH06",2,50,0.91,41.405,15,7,"LOI analysis","N",2,1.82,20.2682991638999,36.8883044782978,2.602,9.167,1.15182848875576,1.07573390973678,0.0279690816531562,0.0989675196957835,0.0733457402899003,NA,0.8943078,"Seagrass",12.74,"10-20cm"
"58","STCH06",2,50,0.91,41.405,12,10,"LOI analysis","N",2,1.82,20.2682991638999,36.8883044782978,2.663,6.045,1.20908240784663,1.20138349069615,0.0324373542487961,0.0720830094417692,0.00806759769007774,NA,0.9238257,"Seagrass",18.2,"10-20cm"
"59","STCH06",2,50,0.91,41.405,1,21,"LOI analysis","N",2,1.82,20.2682991638999,36.8883044782978,2.702,21.875,1.09227031629238,1.09227031629238,0.0294912985398943,0.239207199268031,0,NA,0.9426978,"Seagrass",38.22,"below30cm"
"60","STCH06",2,50,0.91,41.405,2,20,"LOI analysis","N",2,1.82,20.2682991638999,36.8883044782978,3.012,6.161,1.22521218145415,1.22521218145415,0.0367563654436244,0.075963155250157,0,NA,1.0927068,"Seagrass",36.4,"below30cm"
"61","STCH06",2,50,0.91,41.405,1,21,"LOI analysis","N",2,1.82,20.2682991638999,36.8883044782978,NA,NA,1.09227031629238,1.09227031629238,NA,NA,0,NA,NA,"Seagrass",38.22,"below30cm"
"62","STCH06",2,50,0.91,41.405,2,20,"LOI analysis","N",2,1.82,20.2682991638999,36.8883044782978,NA,NA,1.22521218145415,1.22521218145415,NA,NA,0,NA,NA,"Seagrass",36.4,"below30cm"
"63","STCH06",2,50,0.91,41.405,7,15,"LOI analysis","N",2,1.82,20.2682991638999,36.8883044782978,NA,NA,1.34077726530092,1.34077726530092,NA,NA,0,NA,NA,"Seagrass",27.3,"20-30cm"
"64","STCH06",2,50,0.91,41.405,12,10,"LOI analysis","N",2,1.82,20.2682991638999,36.8883044782978,NA,NA,1.20908240784663,1.20138349069615,NA,NA,0.00806759769007774,NA,NA,"Seagrass",18.2,"10-20cm"
"65","STCH06",2,50,0.91,41.405,15,7,"LOI analysis","N",2,1.82,20.2682991638999,36.8883044782978,NA,NA,1.15182848875576,1.07573390973678,NA,NA,0.0733457402899003,NA,NA,"Seagrass",12.74,"10-20cm"
"66","STCH06",3,40,0.555,12.321,10,2,"LOI alysis ","N",2,1.11,20.2682991638999,22.4978120719289,5.775,11.857,1.12170907639004,1.06503689885012,0.0617721401333071,0.126739390963165,0.0506093657623116,NA,2.4297225,"Seagrass",2.22,"0-10cm"
"67","STCH06",3,40,0.555,12.321,11,1,"LOI alysis ","N",2.7,1.4985,20.2682991638999,30.372046297104,2.787,12.372,1.15023530710643,1.11819927007152,0.0313095795620025,0.138656709488868,0.0312194967281612,NA,0.9838293,"Seagrass",1.4985,"0-10cm"
"68","STCH06",3,40,0.555,12.321,9,3,"LOI alysis ","N",2,1.11,20.2682991638999,22.4978120719289,5.962,11.457,1.16678012582178,1.14344452330535,0.0686066713983208,0.131496120180115,0.0199797206307387,NA,2.5202118,"Seagrass",3.33,"0-10cm"
"69","STCH06",3,40,0.555,12.321,2,10,"LOI alysis ","N",2,1.11,20.2682991638999,22.4978120719289,2.669,4.776,1.85022436256981,1.85022436256981,0.0499560577893848,0.0888107694033508,0,NA,0.9267291,"Seagrass",11.1,"10-20cm"
"70","STCH06",3,40,0.555,12.321,1,11,"LOI alysis ","N",2,1.11,20.2682991638999,22.4978120719289,3.499,4.471,2.22581644116768,2.22581644116768,0.0779035754408687,0.100161739852546,0,NA,1.3283661,"Seagrass",12.21,"10-20cm"
"71","STCH06",3,40,0.555,12.321,5,7,"LOI alysis ","N",2,1.11,20.2682991638999,22.4978120719289,4.515,9.247,1.59753312389183,1.57615326711011,0.0709268970199549,0.14500610057413,0.0219532458721287,NA,1.8200085,"Seagrass",7.77,"0-10cm"
"72","STCH06",3,40,0.555,12.321,6,6,"LOI alysis ","N",2,1.11,20.2682991638999,22.4978120719289,4.878,10.233,1.47009850976875,1.45716391865964,0.0714010320143222,0.148630719703283,0.013703554772985,NA,1.9956642,"Seagrass",6.66,"0-10cm"
"73","STCH06",3,40,0.555,12.321,7,5,"LOI alysis ","N",2,1.11,20.2682991638999,22.4978120719289,5.17,10.544,1.48338869101144,1.45738616249313,0.0757840804496426,0.153025547061778,0.0222821667456937,NA,2.136963,"Seagrass",5.55,"0-10cm"
"74","SMAR12",3,50,0.878,38.5442,19,2,"LOI alysis ","N",2,1.756,20.2682991638999,35.5911333318082,3.397,1.557,1.03492068253643,1.0234852501155,0.0347984985039271,0.0163757640018481,0.00503777158002882,NA,1.2790083,"Seagrass",3.512,"0-10cm"
"75","SMAR12",3,50,0.878,38.5442,16,5,"LOI alysis ","N",2,1.756,20.2682991638999,35.5911333318082,4.101,1.456,1.22800248007105,1.21965770506119,0.0500059659075087,0.0182948655759178,0.00224775084440773,NA,1.6196739,"Seagrass",8.78,"0-10cm"
"76","SMAR12",3,50,0.878,38.5442,20,1,"LOI alysis ","N",3.6,3.1608,20.2682991638999,64.0640399972548,3.824,1.771,1.25803805072945,1.25141967324314,0.0475539475832393,0.0225255541183765,0.00404595151993391,NA,1.4856336,"Seagrass",3.1608,"0-10cm"
"77","SMAR12",3,50,0.878,38.5442,18,3,"LOI alysis ","N",2,1.756,20.2682991638999,35.5911333318082,4.934,1.452,1.0620341770971,1.05512234325054,0.0517009948192766,0.0158268351487581,0.00470060895336766,NA,2.0227626,"Seagrass",5.268,"0-10cm"
"78","SMAR12",3,50,0.878,38.5442,15,6,"LOI alysis ","N",2,1.756,20.2682991638999,35.5911333318082,2.896,1.307,1.22477133823222,1.22249549050225,0.0354523692245653,0.0158924413765293,0,NA,1.0365744,"Seagrass",10.536,"10-20cm"
"79","SMAR12",3,50,0.878,38.5442,1,20,"LOI alysis ","N",2,1.756,20.2682991638999,35.5911333318082,2.419,0.665,1.45617728766399,1.45617728766399,0.0349482549039358,0.0101932410136479,0,NA,0.8057541,"Seagrass",35.12,"below30cm"
"80","SMAR12",3,50,0.878,38.5442,6,15,"LOI alysis ","N",2,1.756,20.2682991638999,35.5911333318082,2.605,0.775,1.48202642237468,1.48202642237468,0.0385326869817417,0.0118562113789974,0,NA,0.8957595,"Seagrass",26.34,"20-30cm"
"81","SMAR12",3,50,0.878,38.5442,14,7,"LOI alysis ","N",2,1.756,20.2682991638999,35.5911333318082,3.498,1.229,1.30237493613539,1.30237493613539,0.0455831227647387,0.0156284992336247,0,NA,1.3278822,"Seagrass",12.292,"10-20cm"
