Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1997 - 2017,,,,,,
"Species: SNAPPER, LANE",,,,,,
Subject to Revision,,,,,,
Years before 2020 are final,,,,,,
"Report created: January 28, 2021",,,,,,
,,,,,,
,,,,,,
Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
2004,BAY,"SNAPPER, LANE",304,17,1.77,539
2004,BREVARD,"SNAPPER, LANE",43,5,2.51,107
2004,BROWARD,"SNAPPER, LANE",107,12,2.3,245
2004,CITRUS,"SNAPPER, LANE",925,94,2.12,1958
2004,COLLIER,"SNAPPER, LANE",658,16,1.27,833
2004,DIXIE,"SNAPPER, LANE",6,2,1.99,12
2004,DUVAL,"SNAPPER, LANE",12,3,2.1,24
2004,ESCAMBIA,"SNAPPER, LANE",280,22,1.82,510
2004,FRANKLIN,"SNAPPER, LANE",467,75,1.25,585
2004,GULF,"SNAPPER, LANE",276,6,1.84,506
2004,HILLSBOROUGH,"SNAPPER, LANE",4,1,2.03,8
2004,INDIAN RIVER,"SNAPPER, LANE",23,4,2.6,61
2004,Inland/Out-of-State,"SNAPPER, LANE",73,4,1.78,130
2004,LEE,"SNAPPER, LANE",1958,52,1.92,3763
2004,LEVY,"SNAPPER, LANE",9,2,2.11,19
2004,MANATEE,"SNAPPER, LANE",157,40,1.86,292
2004,MARTIN,"SNAPPER, LANE",238,18,1.61,383
2004,MIAMI-DADE,"SNAPPER, LANE",1562,13,1.91,2985
2004,MONROE,"SNAPPER, LANE",8122,310,1.5,12180
2004,OKALOOSA,"SNAPPER, LANE",1518,94,2.53,3836
2004,PALM BEACH,"SNAPPER, LANE",3425,167,2.57,8790
2004,PASCO,"SNAPPER, LANE",3,1,1.98,7
2004,PINELLAS,"SNAPPER, LANE",2165,146,1.4,3032
2004,SANTA ROSA,"SNAPPER, LANE",48,1,1.8,86
2004,SARASOTA,"SNAPPER, LANE",67,3,2.39,159
2004,ST JOHNS,"SNAPPER, LANE",7,3,2.36,17
2004,ST LUCIE,"SNAPPER, LANE",7,2,1.16,8
2004,TAYLOR,"SNAPPER, LANE",173,27,1.58,273
2004,VOLUSIA,"SNAPPER, LANE",79,15,2.07,164
2004,WAKULLA,"SNAPPER, LANE",200,6,1,199
2005,BAY,"SNAPPER, LANE",188,15,2.24,420
2005,BREVARD,"SNAPPER, LANE",170,18,2.63,447
